Compound	H	C	N	O	P	S	Cl	Co	Se
H2O_H2O_18.010599	2	0	0	8	0	0	0	0	0
NAD+_C21H28N7O14P2_664.116882	28	126	49	112	30	0	0	0	0
NADPH_C21H30N7O17P3_745.091125	30	126	49	136	45	0	0	0	0
NADP+_C21H29N7O17P3_744.083313	29	126	49	136	45	0	0	0	0
Oxygen_O2_31.989799	0	0	0	16	0	0	0	0	0
ADP_C10H15N5O10P2_427.029297	15	60	35	80	30	0	0	0	0
NH3_H3N_17.026600	3	0	7	0	0	0	0	0	0
FAD_C27H33N9O15P2_785.156921	33	162	63	120	30	0	0	0	0
Pyridoxal+phosphate_C8H10NO6P_247.024597	10	48	7	48	15	0	0	0	0
S-Adenosyl-L-methionine_C15H23N6O5S_399.144989	23	90	42	40	0	16	0	0	0
AMP_C10H14N5O7P_347.062988	14	60	35	56	15	0	0	0	0
S-Adenosyl-L-homocysteine_C14H20N6O5S_384.121490	20	84	42	40	0	16	0	0	0
Heme_C34H32FeN4O4_616.177185	32	204	28	32	0	0	0	0	0
GDP_C10H15N5O11P2_443.024200	15	60	35	88	30	0	0	0	0
Glutathione_C10H17N3O6S_307.083801	17	60	21	48	0	16	0	0	0
UDP-D-galactose_C15H24N2O17P2_566.054810	24	90	14	136	30	0	0	0	0
CMP_C9H14N3O8P_323.051788	14	54	21	64	15	0	0	0	0
Formate_CH2O2_46.005501	2	6	0	16	0	0	0	0	0
Sulfate_H2O4S_97.967400	2	0	0	32	0	16	0	0	0
Carboxylate_CO2R_43.989799	0	6	0	16	0	0	0	0	0
FMN_C17H21N4O9P_456.104401	21	102	28	72	15	0	0	0	0
CTP_C9H16N3O14P3_482.984314	16	54	21	112	45	0	0	0	0
Formaldehyde_CH2O_30.010599	2	6	0	8	0	0	0	0	0
Thiamin+diphosphate_C12H19N4O7P2S_425.045013	19	72	28	56	30	16	0	0	0
Ascorbate_C6H8O6_176.032104	8	36	0	48	0	0	0	0	0
UTP_C9H15N2O15P3_483.968292	15	54	14	120	45	0	0	0	0
L-Ornithine_C5H12N2O2_132.089905	12	30	14	16	0	0	0	0	0
H+_H_1.007800	1	0	0	0	0	0	0	0	0
ITP_C10H15N4O14P3_507.979614	15	60	28	112	45	0	0	0	0
D-Fructose+6-phosphate_C6H13O9P_260.029785	13	36	0	72	15	0	0	0	0
Sulfur_S_31.972099	0	0	0	0	0	16	0	0	0
Nitrite_HNO2_47.000702	1	0	7	16	0	0	0	0	0
Sucrose_C12H22O11_342.116211	22	72	0	88	0	0	0	0	0
Catechol_C6H6O2_110.036797	6	36	0	16	0	0	0	0	0
D-Glucose+6-phosphate_C6H13O9P_260.029785	13	36	0	72	15	0	0	0	0
sn-Glycerol+3-phosphate_C3H9O6P_172.013702	9	18	0	48	15	0	0	0	0
Sulfite_H2O3S_81.972504	2	0	0	24	0	16	0	0	0
D-Fructose_C6H12O6_180.063400	12	36	0	48	0	0	0	0	0
IDP_C10H14N4O11P2_428.013306	14	60	28	88	30	0	0	0	0
Glycerone+phosphate_C3H7O6P_169.998001	7	18	0	48	15	0	0	0	0
CDP_C9H15N3O11P2_403.018005	15	54	21	88	30	0	0	0	0
PQQ_C14H6N2O8_330.012390	6	84	14	64	0	0	0	0	0
Choline_C5H14NO_104.107498	14	30	7	8	0	0	0	0	0
Glycerol_C3H8O3_92.047302	8	18	0	24	0	0	0	0	0
D-Ribose+5-phosphate_C5H11O8P_230.019196	11	30	0	64	15	0	0	0	0
Biotin_C10H16N2O3S_244.088196	16	60	14	24	0	16	0	0	0
